Neighborhood,Walk Score,Transit Score,Bike Score
East Ukrainian Village,98,75,96
Wicker Park,96,75,96
Near North Side,96,90,86
West Loop,96,100,86
Ukrainian Village,95,70,95
The Loop,95,99,82
Grant Park,95,100,82
Noble Square,94,76,96
Lincoln Park,94,78,92
Fulton River District,94,96,87
Bucktown,93,73,94
South Loop,93,92,90
Ravenswood,93,69,87
West Town,93,75,94
Uptown,93,79,92
DePaul,92,76,87
Lakeview,92,79,89
Edgewater,91,73,84
Logan Square,91,68,93
Albany Park,90,63,76
Pilsen,90,66,84
North Center,90,67,87
Roscoe Village,89,66,86
Armour Square,89,75,85
Rogers Park,89,74,85
River West,88,80,92
East Hyde Park,87,64,96
Avondale,87,68,80
Hyde Park,87,64,91
South Old Irving Park,87,70,68
Goose Island,87,80,87
Irving Park,85,66,76
Humboldt Park,85,66,82
Lincoln Square,85,60,73
Belmont Gardens,84,59,68
Kilbourn Park,84,63,68
Cragin,84,58,66
Near West Side,84,81,90
Belmont Central,83,58,67
Hermosa,83,59,73
West Ridge,83,56,73
The Villa,82,72,61
Bridgeport,82,61,83
Tri-Taylor,81,73,90
Little Village,80,62,69
Mayfair,80,65,75
University Village - Little Italy,79,72,94
Archer Heights,78,57,57
Portage Park,78,59,63
Chicago Lawn,77,57,68
North Mayfair,77,59,71
Old Irving Park,77,69,67
Chatham,77,67,56
Montclare,77,56,69
Marynook,76,58,55
McKinley Park,76,64,64
Jefferson Park,76,64,73
Illinois Medical District,76,74,90
Kenwood,76,64,84
Gage Park,75,60,66
West Humboldt Park,75,62,62
Stony Island Park,75,59,70
Edison Park,75,46,63
Brighton Park,75,60,61
Galewood,74,56,64
West Elsdon,74,61,66
West Morgan Park,73,40,54
Belmont Heights,73,53,59
Avalon Park,73,63,59
Dunning,73,52,67
Schorsch Village,72,54,64
West Garfield Park,71,70,63
Austin,71,65,61
North Park,71,55,74
Back of the Yards,71,61,61
Park Manor,70,73,65
Gresham,70,63,63
Bronzeville,70,67,75
West Lawn,69,56,56
Grand Crossing,69,66,61
Lawndale,68,67,67
Brainerd,68,64,57
West Chatham,67,72,60
East Garfield Park,67,73,82
Beverly,67,50,63
Beverly Woods,65,46,53
Woodlawn,65,72,71
South Chicago,64,63,64
Norwood Park,64,50,63
Scottsdale,64,55,56
Belmont Terrace,64,51,58
Kennedy Park,64,43,54
Edgebrook,64,41,62
Roseland,63,62,64
South Shore,63,68,63
Morgan Park,63,50,62
West Woodlawn,62,72,74
Englewood,62,65,63
Clearing,62,41,58
Wildwood,62,41,53
Calumet Heights,62,58,57
Marquette Park,62,57,59
Garfield Ridge,62,45,55
East Side,60,39,64
West Englewood,60,63,68
Schorsch Forest View,59,34,44
Sauganash,59,41,65
Washington Park,59,73,66
Longwood Manor,58,68,53
Ashburn,57,55,50
Mount Greenwood,56,43,57
Washington Heights,53,59,50
West Chesterfield,53,79,49
Ford City,52,61,49
Fernwood,52,58,48
Wrightwood,52,54,53
Irving Woods,52,48,50
Burnside,51,66,48
Hegewisch,51,34,56
O'Hare,50,51,46
West Pullman,49,54,57
Tally's Corner,45,45,46
South Deering,45,52,45
Pullman,44,62,49
Princeton Park,43,82,43